x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,y
17.55,r,2150.51,true,412.0122580084148,0.8,2.31,15,18.42,-6.63,110.15,71725.16608688446
19.72,b,1723.88,true,404.7319681383311,0.2,0.41,-39,20.11,-9.88,114.54,224882.35584112542
16.6,r,1488.23,false,406.8047531265972,1.49,2.52,-44,25.57,-4.04,103.21,163756.07798459797
19.92,r,2013.78,true,408.8784116398291,0.0,-0.14,-50,23.27,5.51,114.89,258494.12671135511
19.84,y,1598.31,true,415.64287945798077,1.89,4.32,-48,21.9,9.99,112.97,101086.28915398681
22.42,b,1446.12,true,418.8560353429272,0.14,0.18,-18,20.83,5.29,108.24,109361.07798867521
20.68,b,2467.27,false,404.39814182018563,0.25,0.51,63,25.5,-4.28,109.56,326785.062504731
22.17,b,2516.68,true,418.4195659710646,0.04,0.37,70,22.66,-9.91,109.7,255068.1348242755
21.65,r,1649.58,true,419.7875405353582,0.4,0.39,-13,20.71,-6.43,119.38,113142.5661244976
18.98,r,1882.74,true,413.63941245420835,1.88,2.93,-3,21.55,2.96,105.67,83030.97966614268
18.2,b,2164.73,true,416.8979582567024,0.28,0.36,-98,21.85,9.63,106.25,181904.90932148794
19.62,r,1581.12,true,415.7848116893354,1.6,3.43,-65,21.72,7.45,117.63,115633.03496711807
20.94,y,1893.82,false,416.24534293514813,1.68,3.31,38,25.14,-1.58,108.59,135071.36699927482
17.98,y,2442.64,false,406.9192814439654,1.09,1.31,-31,13.98,-9.16,110.56,226874.63857360347
19.88,y,1626.55,true,418.13950647445847,1.06,2.67,-28,21.15,-8.31,114.34,88367.40136699153
19.76,r,2038.68,false,407.84316445708924,0.13,-0.37,-36,18.65,0.17,104.84,244829.90590081995
20.73,y,,true,400.5666712233475,0.39,0.58,86,15.83,8.5,107.3,344543.5682103684
18.36,y,2439.26,true,401.0296734161972,0.76,1.75,4,17.45,9.01,110.63,225433.17390392305
22.06,r,1574.74,false,402.62088190603663,0.44,0.74,-18,15.54,1.23,114.27,236857.26681522478
21.8,r,1951.48,false,400.7051819649502,0.37,0.36,26,19.68,-7.68,111.83,270927.22843052284
19.41,b,2269.48,true,412.73934708434285,0.93,1.31,-18,24.29,-9.53,110.25,123159.15768668974
17.66,b,2001.11,true,415.92923450391226,2.31,4.1,95,23.03,-2.62,-110.54,156180.30432555178
18.54,b,2174.3,true,412.1384485642368,0.55,1.29,-49,18.69,6.7,108.68,118388.1804265677
23.65,b,2306.68,false,410.93545220621354,2.48,4.4,92,19.16,9.86,107.21,305585.733263923
24.54,b,1791.99,,419.0216070742368,0.07,0.48,-2,19.09,3.95,115.28,178728.46673079053
20.59,b,2303.42,true,411.5059305226689,1.03,2.19,-13,15.88,-5.58,113.9,151378.03383852605
17.13,y,2130.0,false,413.8251467439539,0.41,0.7,64,20.0,-9.99,112.56,100211.63659316913
17.94,b,2433.54,true,408.28837610913183,0.64,1.5,-4,20.42,-5.21,112.16,218444.22550106476
18.69,b,1981.6,false,404.8290143921209,1.48,3.51,-42,21.06,4.36,109.1,225621.48130600504
21.52,r,1759.39,false,402.64753183254254,4.31,8.58,48,23.05,9.92,109.27,265049.28100368334
20.33,r,1916.38,false,405.6104040173741,0.32,0.95,-60,18.6,6.36,109.83,269628.3526744468
17.89,y,2293.22,true,403.4159743718599,0.27,-0.12,-58,21.79,-3.04,113.38,240055.67354369923
20.12,r,2068.09,true,413.9267898531073,1.65,3.24,87,15.23,-9.66,108.5,194389.27748632565
22.58,b,2226.23,true,411.5667500566122,0.81,0.96,65,20.79,-7.39,109.7,230225.8241331319
25.07,y,1768.13,false,404.7262726243794,0.91,2.17,11,16.84,1.67,111.76,307277.98374643724
20.23,b,2152.53,true,413.26700514238803,1.09,2.44,-82,20.01,9.2,105.19,196837.43188783075
21.88,y,1897.08,false,413.3837579143694,0.96,2.03,79,19.53,8.26,113.77,201589.24302897323
21.01,b,2444.04,true,415.6856126884189,1.61,2.67,-26,18.91,-0.26,102.85,177804.20624584187
20.95,r,1781.89,true,415.7838035991849,0.78,1.18,-85,22.92,-8.55,110.94,183846.4927474408
19.62,r,2131.58,false,419.78713741237686,2.19,4.86,-93,29.21,-8.97,108.97,198856.04789064112
17.21,b,2408.31,false,409.73305584852693,0.02,-0.01,-27,19.64,-1.14,110.27,206842.04758131618
20.98,b,2287.89,true,405.7544819637722,0.05,0.52,-47,17.54,7.73,117.25,301831.1664620248
19.05,y,2105.25,false,405.5784502227385,1.15,1.89,-58,,9.51,111.04,254981.91028689154
20.74,r,2489.51,false,418.51602114366983,1.86,4.09,-15,15.42,2.53,117.06,168155.67680833116
22.61,y,2076.39,true,409.9248059767215,2.52,5.17,58,22.15,-6.76,106.28,328342.64293385943
19.67,r,1777.15,true,404.79765213370587,0.36,0.04,-5,26.01,-9.85,105.67,211131.6420737073
17.8,b,1826.58,false,415.10947630374204,1.03,2.24,-44,14.13,-3.87,108.7,78948.12513808385
19.05,b,1800.19,false,419.3842424803664,0.42,1.25,-100,19.72,5.66,110.59,180397.271346524
22.31,b,1792.94,true,413.6543927353354,0.5,1.38,18,16.78,9.99,113.76,142525.29168524043
22.83,y,2011.16,true,402.87784703327236,1.67,2.97,-93,23.06,5.13,101.75,377613.2403777756
20.0,r,1832.29,false,401.6076993947333,1.57,2.77,27,20.46,-4.44,110.89,227611.22827637408
19.39,r,1979.69,true,405.5280501072919,0.47,1.31,-100,20.09,-9.93,119.03,320005.70557220746
18.53,x,2290.49,false,408.1604577799295,0.06,0.6,68,18.16,-6.29,103.6,270359.3702073457
21.5,b,2235.49,false,407.84445158124026,0.82,1.66,60,17.56,3.13,105.93,323462.424588611
25.77,b,1621.05,false,403.3686680230958,0.33,0.58,99,21.48,9.68,114.44,398922.15325692773
19.76,b,2210.5,false,409.52825944600386,0.15,0.61,-50,20.87,7.33,109.12,271912.6124209545
17.36,b,2033.83,true,407.51576371673275,0.39,0.84,76,16.46,-1.76,112.55,242401.07316261905
0.0,y,2322.21,true,417.2184485026827,0.1,-0.58,-56,16.77,-9.23,111.63,233403.91510528524
18.89,b,2423.07,true,410.01884539306667,0.2,0.07,31,20.57,-8.21,110.31,250907.38660667138
18.99,y,1396.58,false,407.4741278630558,0.12,-0.24,-65,19.53,0.35,114.5,216725.88693451372
17.94,b,2011.07,true,402.9876053212474,0.42,1.18,22,16.72,8.6,113.05,199220.82858380926
21.46,r,1893.94,true,405.7624886432854,1.49,2.98,73,21.5,8.93,111.88,306948.25869949197
19.7,y,1510.42,false,411.8758162700678,0.22,0.47,-85,22.66,1.05,103.12,142272.5989903289
21.22,r,1879.11,false,408.13548488932355,0.46,1.1,-16,16.82,-7.79,112.81,250747.43723046302
19.17,y,1792.48,true,410.3080973186663,0.18,0.39,94,11.69,-9.48,115.54,169266.7745672838
18.02,y,2027.01,false,404.8652947699316,0.59,0.47,-38,24.03,-2.45,-112.26,209621.18150483968
16.63,r,1790.37,false,408.9035926639352,0.13,-0.4,44,19.4,6.83,113.25,177321.84141751175
21.57,b,2316.09,false,403.5361881727063,1.95,3.93,69,23.08,9.83,110.61,343247.9281368317
21.8,r,1966.19,false,400.2282603911741,0.45,1.42,44,21.3,3.79,-106.51,285076.01670758467
23.0,r,2714.45,false,409.6927645457429,0.38,1.11,-44,15.91,-5.73,108.8,389220.7650489538
20.27,r,2680.69,false,412.5032818632799,0.62,1.05,-75,23.01,-9.99,110.79,225962.5719019589
16.32,y,2410.92,false,419.98432950654194,1.83,3.77,42,14.35,-5.06,107.57,69945.62945218975
21.71,y,1505.81,true,410.2357248777783,1.04,2.16,63,16.55,4.52,112.74,140094.2182289157
22.79,b,1793.13,true,419.47293827287945,0.37,1.09,-72,14.27,9.94,110.42,199322.47216616833
17.06,y,,true,400.5036902594731,0.1,0.87,-61,23.98,6.22,116.2,210596.22413010473
19.94,r,1693.47,false,416.70747809161435,3.08,6.35,33,,-3.21,107.61,98007.91068564105
17.96,r,1686.04,true,414.82108599077276,0.59,2.08,30,25.18,-9.7,101.85,62099.061814187415
20.38,b,2059.19,false,406.810351442551,3.62,7.48,-76,20.03,-7.27,107.16,306249.4526579418
19.99,r,2132.15,true,414.32764944784327,1.33,2.49,-20,19.52,1.84,115.85,124990.06767550088
22.09,b,1790.5,false,418.93908469913373,0.72,1.11,97,13.98,9.26,106.26,228764.15177169684
20.37,y,1860.74,false,405.4143239751405,0.14,0.47,-90,15.5,8.16,107.44,311104.101082916
22.78,b,1672.56,true,400.2880164974788,1.1,1.81,-8,24.31,-0.44,109.2,257663.41980067248
20.91,r,2073.34,false,403.80517966921826,0.01,0.64,-91,24.83,-8.64,109.41,340731.12903790444
21.68,b,2064.9,false,412.54828420616667,2.05,4.23,8,20.29,-8.89,113.98,153886.7004122037
23.42,b,1820.33,true,418.5232675135495,0.13,0.52,-100,22.93,-0.97,110.69,261990.91041073628
20.8,y,1517.29,false,414.64717738648704,2.58,5.34,-36,17.82,7.84,114.37,100212.67655001619
17.83,b,1722.44,false,400.28230216360186,3.23,6.34,-30,16.66,9.45,113.03,185473.68728816
17.3,r,1847.16,false,402.48762984167683,1.82,3.15,87,20.29,2.36,108.41,247354.01245464722
17.44,r,1760.32,true,405.49088186948313,0.76,1.44,54,12.97,-6.89,111.04,199677.5526709955
0.0,r,2036.67,true,403.4215999287461,0.93,2.38,57,17.56,-9.81,103.85,272372.27014828596
18.65,y,1995.06,true,418.11838043893687,1.86,3.67,0,,-3.71,113.19,83455.46298285272
18.8,r,2449.78,false,406.3045422799254,0.69,1.44,80,19.62,5.8,109.85,302221.31524291943
21.0,r,2043.05,true,400.9614893555522,0.51,0.96,34,23.49,9.98,106.62,268289.17269984254
19.55,r,1594.9,false,400.23277428755307,0.09,-0.17,-27,25.26,4.98,111.53,202476.19016835993
19.06,y,2716.9,true,408.90063315075344,0.6,0.95,-83,16.64,-4.59,112.89,331457.49883388146
17.18,r,2303.09,true,406.7863296577908,0.34,0.81,2,25.28,-9.95,107.36,191694.88993739962
20.12,b,1830.94,false,414.30159248444465,0.76,1.67,-93,14.44,-6.16,109.09,189337.04287440033
17.91,r,2374.16,false,403.9510407669299,0.06,-0.27,-56,16.48,3.29,104.23,243101.11859568892
20.97,b,1939.97,false,408.9800807774315,1.39,2.88,-65,24.0,9.72,106.75,293295.82448834495
18.3,y,1188.73,true,413.0716720666922,0.28,0.31,-9,23.72,7.21,112.39,30977.35310369693
18.9,y,1664.68,true,404.2016241620511,0.4,0.98,35,17.0,-1.93,110.25,202203.2085699379
17.2,r,2566.45,true,417.860546136176,0.3,0.37,-11,20.12,-9.3,115.74,82557.23065545683
20.18,y,1760.65,true,417.3755418505109,0.59,1.11,35,22.92,-8.11,108.39,108475.25638516007
19.29,y,1667.5,true,415.72254510386955,0.64,1.49,-67,18.2,0.53,111.91,119187.1816433153
19.89,b,1861.69,true,406.1384855474294,0.77,1.6,36,23.23,8.68,109.69,236607.16822469846
22.37,y,2031.01,true,414.64107614824223,3.21,6.34,-45,17.48,8.85,111.32,182330.61318478268
18.66,y,1939.14,false,413.6460316348204,0.31,0.42,80,19.33,0.88,109.2,144645.5902168156
20.13,b,2041.75,false,414.5730116262308,0.08,-0.01,-91,20.79,-7.9,107.26,201944.97610353128
19.03,r,2116.47,false,419.9223922117374,0.55,1.42,16,15.96,-9.42,110.42,101484.03746672194
18.55,b,1840.6,true,404.4220996493935,0.02,0.29,72,22.38,-2.28,110.97,248773.3532631603
20.57,r,2007.77,true,415.14553918232934,1.44,2.59,-14,23.12,6.96,-110.68,125436.8527158829
17.45,y,1889.99,false,418.26472466220514,1.34,2.49,-69,21.38,9.8,111.77,101863.94812856911
18.34,b,1701.79,f,401.5185878164725,0.4,1.02,-7,17.22,3.63,117.5,184858.00129368177
19.25,y,1878.32,true,411.43132860151655,1.11,2.24,84,21.28,-5.87,110.49,158930.17466426716
20.33,x,2486.82,false,414.44424420985746,0.47,0.73,-61,,-9.98,108.55,195364.60098124604
19.43,b,2265.62,false,407.05306380837914,0.03,0.12,19,19.67,-4.91,111.64,246801.6277493719
18.6,y,1718.36,true,407.7357365763359,0.09,-0.35,73,19.75,4.67,112.94,242265.1096033747
15.71,b,2224.82,false,400.03922341771096,0.49,1.06,21,17.93,9.96,116.36,160262.11144200817
18.96,b,2096.24,false,402.48015747937194,2.57,5.34,-25,15.24,6.09,116.59,227013.29663334554
18.21,r,1979.81,true,408.581443745226,0.53,1.03,38,18.27,-3.38,111.72,211911.32600119276
20.7,r,1217.69,false,408.8777925220911,1.08,1.97,-64,,-9.74,107.13,225572.91812286747
0.0,y,1926.86,true,412.4177570089729,0.14,0.11,41,19.81,-7.14,111.91,104658.1910806309
20.87,y,1658.77,true,408.7568430909108,0.02,-0.25,8,19.98,2.02,115.1,224097.6319119648
21.17,r,1748.73,false,417.8065892146914,2.89,6.25,-9,21.33,9.33,110.37,113792.5662111551
20.32,y,2268.1,true,413.97022049396764,0.19,0.27,61,20.47,8.06,112.67,176015.702108271
19.67,b,1811.09,false,419.3659096857607,2.37,4.34,20,21.47,-0.61,115.61,96883.29806203919
22.25,r,2288.35,true,402.2726267818707,0.02,-0.27,-8,16.67,-8.73,103.71,307315.89738027006
24.16,y,1979.94,false,411.3784030120616,4.56,9.37,84,17.31,-8.81,100.5,263707.77587609546
24.2,b,2253.47,false,410.7904656506241,0.52,1.47,76,23.44,-0.79,111.33,285703.61126894626
19.82,r,2628.42,true,411.673954009117,0.01,0.37,34,18.81,7.95,108.89,165697.16748789616
22.18,b,1924.16,false,416.4588625781087,0.92,2.29,-93,24.15,9.39,106.97,236302.36835261632
21.32,b,1997.19,false,418.74266744360636,0.2,0.16,53,19.12,2.19,105.46,167410.83771152908
22.89,r,2131.72,false,410.0445787930758,0.42,0.06,15,24.8,-7.02,115.48,308977.35465536074
21.24,b,2007.9,true,405.51047614945884,0.2,-0.18,-5,21.83,-9.78,113.02,261913.17869053944
19.49,r,2424.09,true,419.9052424876253,0.14,0.06,26,15.27,-3.54,104.64,137085.91724270213
18.23,b,1829.07,false,409.0928307335099,1.92,3.35,72,21.28,5.94,109.38,243310.35900180766
17.27,r,1749.23,true,412.0513101319007,0.23,0.37,81,23.5,9.97,107.97,110553.2021856764
16.91,b,1756.65,false,408.0732033987248,0.04,0.06,-64,21.23,4.83,108.34,204682.04029268082
18.57,r,1983.55,true,414.3941961970063,0.3,0.74,86,20.83,-4.75,112.78,155765.53300054933
18.83,b,2144.72,true,407.5915689194641,0.26,0.96,-77,,-9.97,114.25,281444.7559304074
18.33,y,2113.54,false,418.4206942169377,0.42,0.78,99,15.97,-6.01,111.6,182074.3628420573
24.1,r,1545.66,false,404.71695809106984,0.2,0.05,55,19.07,3.46,106.59,293858.5650207432
17.53,b,2626.85,false,418.7551447680811,1.06,2.06,59,16.57,9.76,106.67,129818.54428881606
20.62,y,2606.21,true,415.8637743277816,1.15,2.34,-86,26.26,7.08,104.63,247040.09003161002
19.58,y,2686.64,true,414.12905670744686,2.08,3.94,-16,18.53,-2.1,111.77,154306.20723763527
26.17,y,1576.17,true,408.05270280055794,0.8,1.94,-70,19.02,-9.36,104.34,349630.9212870486
20.62,b,1714.56,false,413.96028154979444,0.27,0.87,-80,17.97,-8.01,103.95,166882.362076467
19.17,b,2336.82,false,410.8220364291399,1.98,4.04,-80,22.06,0.7,112.89,183801.59115856682
22.11,y,1716.25,false,407.12164234206466,1.71,3.77,-18,23.66,8.77,110.63,252813.4849951618
23.14,b,2031.29,true,417.0027585088082,2.52,5.13,-50,17.51,8.77,117.51,204879.01526279835
19.06,b,2040.17,true,404.11244297348105,0.54,0.6,88,24.05,0.7,110.49,297066.2927430629
22.73,y,2486.97,true,413.2755897636569,2.37,4.9,-54,20.1,-8.01,108.22,245573.87065891578
18.75,y,2105.82,false,411.12748297664086,0.09,0.09,70,19.82,-9.36,108.89,142291.88091348752
21.96,b,1856.69,false,414.80365321958453,1.0,2.25,-38,19.36,-2.1,103.04,153870.0436679108
18.13,b,2415.84,true,400.3186066690311,0.22,1.01,-86,17.21,7.08,115.53,294902.51495586016
17.67,b,1791.2,false,408.9336424591211,1.67,3.61,75,21.15,9.76,117.6,235534.18721801406
21.93,r,2158.58,true,414.63380321000716,0.7,0.87,-89,,3.46,112.56,244568.95986482967
22.95,r,2151.33,true,415.8224909802587,2.89,6.62,-41,20.34,-6.02,110.56,203559.13019546753
20.98,y,1750.47,true,411.7906353555069,1.28,2.25,-43,17.61,-9.97,108.49,128858.66227995865
22.0,y,1827.61,rue,409.3557939611397,0.11,0.82,71,18.08,-4.75,108.86,309061.51124619145
18.58,b,1854.69,false,418.23873658139183,0.05,0.57,71,21.59,4.83,113.53,126284.492574288
23.2,r,2137.63,false,412.41276052636937,1.11,1.1,7,16.15,9.97,111.57,191369.81635097333
24.92,r,2136.85,true,403.0833772131188,0.84,1.7,25,17.42,5.94,113.07,355870.40957512683
19.45,b,1815.75,true,410.054914900433,1.04,1.33,-79,21.42,-3.54,106.48,275694.3143175042
20.0,r,1985.6,false,412.32341161267175,2.81,6.05,-16,13.61,-9.78,107.71,113438.83963926311
18.58,!,1856.99,false,416.1448996075496,0.58,1.55,86,21.04,-7.02,114.57,150229.8281076176
18.86,y,2304.8,false,409.3361899049265,1.31,2.05,33,18.11,2.19,104.88,242258.315585271
18.69,r,2107.31,true,405.96421907847616,0.13,0.88,12,,9.39,108.2,216106.38944725052
18.86,b,2141.81,false,401.1702016925929,0.05,-0.14,14,20.8,7.95,114.48,223396.48957718
20.04,y,2411.3,false,415.584024283703,0.34,0.52,-22,13.75,-0.79,105.87,148080.03174602988
24.87,,2074.97,false,419.1553307479745,1.8,4.36,42,17.0,-8.81,112.14,235979.60909430814
18.87,y,2384.15,false,405.5648814959046,0.64,1.17,-45,21.39,-8.73,111.64,256166.23811561224
22.82,r,2299.4,false,407.1871359939187,0.12,-0.35,66,13.54,-0.61,104.96,365654.2878756227
20.8,r,2414.84,false,410.46011362932154,0.83,1.56,-45,15.24,8.06,110.31,182852.07809940202
19.22,r,1858.52,true,406.04739907182915,1.45,2.52,-93,19.75,9.33,112.83,295723.4395163201
19.23,r,2741.22,false,411.1305319731464,0.61,1.19,19,21.83,2.02,113.31,150073.21986889956
19.14,b,1607.74,true,415.3047785944327,1.58,2.89,-10,20.64,-7.14,115.58,71368.57918083709
16.39,r,2192.37,true,410.4944460768847,1.81,4.02,76,21.99,-9.74,110.86,104900.25860092507
20.26,y,1815.01,false,416.3456016316729,0.27,0.94,3,21.93,-3.38,111.05,102402.00026364767
16.45,y,1577.17,false,411.09598856507034,1.05,2.42,-56,12.19,6.09,111.24,55263.952402650684
18.38,r,1982.68,true,416.71708081278666,5.27,11.21,72,24.86,9.96,113.99,130064.88847379456
21.26,r,1985.44,false,410.04787847995806,0.19,0.49,40,15.78,4.67,107.98,275211.0909777064
18.75,,1631.38,true,403.0557637912006,2.55,5.5,-53,13.76,-4.91,113.42,213726.20864820742
20.11,y,2109.36,true,418.8657052645867,0.69,1.02,-60,23.21,-9.98,107.26,157779.083818383
21.75,b,2389.2,true,411.68406032599154,0.71,1.96,-59,,-5.87,103.95,220056.8180670531
21.87,y,2289.0,true,415.53999776147435,0.49,0.51,-15,17.87,3.63,117.42,178466.9981647227
18.62,b,2137.9,true,419.0970565680786,0.33,0.77,58,19.46,9.8,112.49,127653.58432595931
23.41,y,1951.24,true,417.10608536419545,0.59,1.0,98,24.23,6.96,104.45,270708.33060533216
16.2,r,2226.76,rue,418.15803446392147,0.67,0.84,-66,18.46,-2.28,112.53,86984.85273518831
20.78,b,2014.59,true,419.31286210774294,1.05,2.02,-30,16.92,-9.42,106.31,139209.31849558649
16.3,r,1812.39,true,415.9235440672404,1.68,3.06,24,17.32,-7.9,111.32,35957.294721664744
19.3,r,2085.4,false,417.7344845418821,0.1,-0.78,42,21.26,0.88,108.68,120805.47131168874
20.16,y,1870.26,false,410.08839614394634,0.6,0.57,-17,15.03,8.85,119.36,231293.82547742984
20.95,r,1824.57,true,403.29124165536786,0.74,2.15,-63,20.77,8.68,105.73,277914.4230843371
21.14,r,2515.95,false,417.8105427817023,0.36,-0.23,-68,23.44,0.53,114.41,225192.21084066873
17.68,r,1374.65,true,401.6820833730511,0.55,1.54,82,15.75,-8.11,106.91,221815.5168868424
17.29,r,2206.07,false,407.56859340196246,1.88,3.25,57,21.35,-9.3,114.75,222728.1500170931
19.13,y,2033.75,false,404.6286643673423,4.12,8.36,-69,19.52,-1.93,115.91,266632.1301591875
20.48,y,1708.99,true,404.0734939153196,0.2,0.05,52,23.21,7.21,111.78,247464.7345942786
18.8,!,1878.45,true,404.0708049726967,0.31,0.26,-10,19.56,9.72,109.86,203313.4345511813
19.51,b,1975.78,false,406.97582178326655,2.13,4.54,16,18.59,3.29,113.38,227768.6213255043
20.1,r,1937.37,false,416.8451740885447,0.7,1.6,55,17.49,-6.16,114.28,139101.4523584112
21.27,r,2242.48,false,413.8322391248529,1.59,3.72,-2,22.71,-9.95,108.64,158817.14501280678
20.64,b,2185.4,true,410.4738634429538,4.11,8.45,-57,19.73,-4.59,108.65,174896.43999248958
19.6,r,2086.27,,418.73005726147085,0.42,0.34,-66,20.75,4.98,-109.37,153062.30840317093
19.75,!,1989.97,true,400.8846668673881,0.52,0.39,43,16.45,9.98,115.99,246110.80758669626
23.19,y,2031.91,false,407.53913076000435,0.27,1.16,14,22.4,5.8,113.13,304221.35663074016
18.57,y,2002.37,false,411.9636148737201,0.75,1.06,5,24.16,-3.71,110.14,83693.59946282825
19.99,x,2333.17,true,407.7847011798092,0.36,1.13,-42,19.72,-9.81,112.0,277289.2361373217
20.62,r,2221.54,true,404.40534472329233,1.44,2.34,-17,18.53,-6.89,113.07,267595.29638184
18.03,b,1491.33,false,403.54791927587075,1.55,3.16,-92,20.35,2.36,116.28,253008.72460776748
22.04,r,2259.01,false,411.6543598424336,0.32,0.6,-19,18.79,9.45,107.43,181478.08645253163
23.33,r,2247.23,true,418.8724496948613,0.69,0.81,36,24.06,7.84,114.23,218159.78915931893
22.85,y,1752.91,true,414.60784856757874,0.68,1.95,38,20.34,-0.97,116.41,157977.7556112844
21.46,r,2187.83,false,418.93580888376636,4.21,7.67,63,20.15,-8.9,115.13,197492.4028666673
19.92,b,2218.14,false,419.43500679180187,1.42,2.56,80,19.69,-8.64,116.22,192027.5326973807
17.85,b,1778.26,true,415.86961868299113,0.3,0.86,-24,14.71,-0.44,105.56,64443.59524346241
21.26,r,1930.34,true,411.81378251041485,0.02,0.0,28,26.06,8.16,110.46,139273.5832721272
18.53,b,1867.78,true,407.5922252196634,1.18,1.72,88,18.41,9.26,111.67,276842.59706712794
17.09,b,1306.92,true,416.14240816348365,0.73,1.12,-65,19.41,1.84,108.09,65729.24620638197
21.19,r,1923.18,false,416.85822246932617,1.16,1.96,75,23.79,-7.27,109.74,185231.54607234366
20.25,r,1934.53,true,405.8326725503659,0.48,1.22,-48,23.21,-9.7,108.08,257581.90082094452
22.34,b,1859.33,true,410.15212576446413,0.92,1.9,7,18.57,-3.21,109.25,148091.5543962603
17.76,y,2267.97,true,418.58687992139323,0.03,0.29,-10,19.49,6.23,109.35,81506.59253230176
24.02,y,2335.81,true,400.4565310456548,0.6,1.37,-75,17.62,9.94,109.14,409145.967760174
18.98,b,1658.84,false,416.53011405558294,0.24,0.14,-11,19.61,4.51,108.33,72331.4257091609
22.73,b,2342.29,true,413.2772198080548,0.22,-0.11,-49,18.35,-5.06,109.21,227967.7704858774
19.05,y,2039.93,true,414.515431103218,0.15,0.27,99,23.64,-9.99,112.33,193413.02133999782
18.55,r,2331.04,true,407.60537422979854,1.73,3.17,-83,18.37,-5.73,105.15,294780.93870437064
21.48,y,2282.39,true,409.655261030736,0.79,1.09,-60,15.0,3.79,111.69,326362.6523324441
22.87,r,1909.81,false,402.5809440126532,2.16,4.42,-15,17.94,9.83,111.86,284606.0033737904
21.55,b,1451.95,false,413.1621805222726,0.12,0.46,11,18.66,6.83,110.25,96864.51524312359
21.01,b,2304.61,false,419.39793101649394,0.43,0.33,38,23.56,-2.45,108.46,174166.9308028388
18.11,y,,false,403.58436937856754,0.46,1.06,71,28.89,-9.48,113.63,243433.87438321044
20.15,r,2193.24,false,416.26076090581296,1.33,3.46,48,19.79,-7.79,111.44,152717.47367276702
18.23,r,1537.92,true,414.828272123531,2.11,4.51,-24,24.1,1.06,112.95,55804.82142869886
20.72,b,2247.02,true,415.43391802384696,2.18,3.65,0,19.42,8.94,116.55,148781.25804459935
20.28,y,1871.19,true,417.3402837011738,1.14,2.95,86,20.79,8.6,108.21,181267.63717504693
22.89,b,1840.62,true,410.9896829401688,1.79,3.79,50,20.09,0.35,112.93,180989.56949285045
